GHCN_DIN;DATE;PRCP;SNOW;TMAX;TMIN;NAME;COORD;ELEVATION;COUNTRY_CODE
USW00094290;2015-02-04;76.0;0.0;9.4;5.6;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-02-22;0.0;0.0;11.7;1.7;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-02-23;0.0;0.0;14.4;0.0;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-03-07;0.0;0.0;16.1;2.8;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-03-12;0.0;0.0;18.3;8.3;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-03-19;8.0;0.0;15.6;6.7;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-03-30;3.0;0.0;18.9;11.1;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-04-09;0.0;0.0;18.3;5.6;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-04-23;20.0;0.0;12.2;7.8;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-05-10;0.0;0.0;20.6;10.6;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-05-14;3.0;0.0;17.8;10.0;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-05-26;0.0;0.0;20.6;12.2;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-05-27;0.0;0.0;24.4;12.2;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-07-14;0.0;0.0;26.7;14.4;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-07-21;0.0;0.0;22.8;15.6;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-07-23;0.0;0.0;26.1;14.4;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-07-30;0.0;0.0;32.2;14.4;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-08-06;0.0;0.0;25.6;15.0;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-08-09;0.0;0.0;27.8;16.7;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-08-13;0.0;0.0;27.8;15.6;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-08-15;15.0;0.0;21.1;15.0;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-08-31;20.0;0.0;18.3;16.1;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-09-03;0.0;0.0;19.4;11.7;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-09-05;3.0;0.0;20.0;8.3;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-09-06;53.0;0.0;16.1;11.1;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-09-25;10.0;0.0;16.1;12.8;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-10-07;107.0;0.0;15.6;13.9;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-10-08;0.0;0.0;18.3;13.3;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-10-14;0.0;0.0;16.1;8.9;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-10-20;0.0;0.0;18.3;8.9;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-11-06;10.0;0.0;15.0;8.3;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-11-27;0.0;0.0;10.0;-2.1;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-12-07;188.0;0.0;11.1;7.8;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-12-19;0.0;0.0;8.9;3.9;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-01-10;28.0;0.0;7.8;6.1;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-01-15;91.0;0.0;7.8;-0.5;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-02-01;8.0;0.0;9.4;5.0;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-02-24;0.0;0.0;11.7;0.6;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-03-10;5.0;0.0;15.0;5.0;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-03-15;554.0;0.0;10.6;6.1;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-03-16;3.0;0.0;13.9;5.6;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-03-20;28.0;0.0;13.9;8.3;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-03-23;28.0;0.0;11.7;5.6;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-03-24;56.0;0.0;13.3;6.7;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-04-01;8.0;0.0;13.3;5.6;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-04-12;0.0;0.0;13.9;6.7;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-04-14;0.0;0.0;12.8;3.9;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-04-17;0.0;0.0;18.9;6.1;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-04-26;0.0;0.0;16.7;4.4;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-04-27;0.0;0.0;25.6;10.6;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-04-28;43.0;0.0;15.6;8.9;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-05-13;51.0;0.0;12.8;10.6;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-05-19;0.0;0.0;22.8;12.8;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
